Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
378,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
545,ACSA2,Acer saccharum,Sugar Maple,,360,21,Partial
543,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
542,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
537,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
538,TIAM,Tilia americana,American Basswood,,360,21,Partial
539,QURU,Quercus rubra,Red Oak,,360,21,Partial
531,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
549,QURU,Quercus rubra,Red Oak,,360,21,Partial
536,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
535,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
534,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
528,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
527,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
526,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
529,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
